"groupID","mnyld_tons","basinarea_ha","annual_rainGL","annual_runoff"
1,199.245115839368,616.14,14.338590675585,6.14060857786961
2,1355.75840812744,4321.98,92.6497439886602,37.5599388049521
3,933.1532577316,3586.86,71.4570235055719,26.8322358524126
4,233.020540696212,969.57,18.9301526574839,6.91229604114211
5,130.711587124008,571.32,11.1176600667998,4.01884040315013
6,4084.63415218824,8912.79,238.710660141547,116.811272228842
7,7549.46350701769,17259.03,349.260572875035,147.001990216444
8,12411.3572061007,23471.64,692.10262929749,362.370060387543
9,2591.25422141413,7189.47,170.4477644133,74.9868330859887
10,11547.394753636,30722.67,759.289726845417,344.69634191646
11,6232.69137168124,13268.34,320.860838232598,149.085409344223
12,6243.19268268528,16020.72,392.210201240148,178.346687652033
13,8466.25141696748,16435.98,394.475598414635,185.626049429483
14,2773.85815898919,4308.93,83.695185317611,38.7764742522621
15,62723.5903679613,85086.63,2182.25013171111,1130.4550629775
16,601.903392184999,956.43,21.4658402384377,10.2460187551294
17,685.604387194014,720.18,19.477954116351,10.8415901990005
18,783.608174378749,862.38,22.5903836018082,12.3378322177562
19,13812.0475804896,17155.26,393.741351910153,202.018447574521
20,568.918358177501,542.61,12.8200077758542,7.16572137851071
21,14127.2297341559,20054.97,431.207542310349,209.807792752508
22,4411.75800703448,6038.1,118.828483926761,57.7527172927677
23,29886.1422142205,35551.71,951.953980369486,514.982965442954
24,22845.5260038601,21589.29,508.928555233238,285.673142225377
25,812.659288201524,2135.34,42.0819770411002,16.8957739319953
26,5903.36420448707,19462.86,386.614838912397,148.638873289451
27,2292.04414772439,3350.43,76.0123295683288,37.1417034630507
28,7210.73610488688,13005.54,331.194593727738,162.330557285417
