"basin","forest_cover","basin_area_ha","cellnum","x","y","av_rain_mm","annual_rainGL","propro_forest","propro_uf","annual_runoffGL","sedyld_tons","groupID"
1,0.808319374651033,1611.9,5072202,785489.99999999,8204530,1942.99182647168,31.3190852508969,0.359851719219275,0.579242418229037,12.5872864846976,635.775209418931,25
2,0.935985889920631,1734.93,5293192,797309.99999999,8203600,1960.54616617088,34.0141036007484,0.363154591498994,0.581914038538991,12.8287009058122,495.410744548248,26
3,0.921316956762077,13350.78,5499485,795179.99999999,8202730,1991.29136667916,265.852929524328,0.368888408005142,0.586516737301635,102.622438909882,4105.92939081129,26
4,0.971942446043165,500.4,5606380,799829.99999999,8202280,1854.87995391685,9.28181928939991,0.342955008058682,0.565331789504826,3.24115891486597,113.581268383862,26
5,0.909215955983494,523.44,5620040,782669.99999999,8202220,2056.18443187439,10.7628917902033,0.38077768854649,0.595923158284313,4.30848744729774,176.884078782593,25
6,0.924526987811956,3876.75,5627703,799079.99999999,8202190,1998.21981035456,77.4659864979204,0.370171569196406,0.587540751173596,29.9465745588909,1188.44280074367,26
7,0.576254686302533,4345.11,6231830,777089.99999999,8199640,1991.69114691966,86.5411711939209,0.368962537650885,0.586575954995801,39.9106422320266,2718.34878872618,22
8,0.0955292116314922,1692.99,6331399,775439.99999999,8199220,1907.11774628556,32.2873127328398,0.353036317369498,0.573681328353566,17.8420750607411,1693.4092183083,22
9,0.377674572897661,542.61,6807834,765329.99999999,8197210,2362.65600999875,12.8200077758542,0.433070470768979,0.635340553579179,7.16572137851071,568.918358177501,20
10,0.578545368055898,20054.97,6907665,771539.99999999,8196790,2150.12808451146,431.207542310349,0.397478983339672,0.608841575326643,209.807792752508,14127.2297341559,21
11,0.59586639274582,15245.28,8316269,760619.99999999,8190850,2289.92749487837,349.105858391194,0.421227940050114,0.626668659419679,176.037829684806,11556.9354623952,19
12,0.242385920539572,854.01,8437118,756929.99999999,8190340,2336.420255181,19.9532626212712,0.428838310560383,0.632257238213684,11.6317814653646,1012.58640290701,19
15,0.250916219210773,1055.97,9127303,754919.99999999,8187430,2337.39887474906,24.6822308976876,0.428996978725936,0.632373146963564,14.3488364243508,1242.52571518735,19
18,0.328497778985723,10596.51,10109091,748319.99999999,8183290,2378.08182197756,251.993678074034,0.435538011360956,0.637130374070784,143.865138889944,11827.0602710309,24
19,0.640359890882846,14714.46,10166190,753449.99999999,8183050,2433.00645850405,358.003762133995,0.444199695510317,0.643368263003648,184.668615523256,11459.3594603033,23
20,0.711676924738149,20837.25,10180420,753389.99999999,8182990,2850.42516759885,593.950218235491,0.50402054452914,0.684758169086653,330.314349919698,18426.7827539172,23
21,0.00340186362964059,608.49,10329539,743879.99999999,8182360,2083.90690959007,12.6803651541646,0.385768839216161,0.599818872455274,7.59668887998659,750.957261402486,24
22,0.232881280569142,3238.56,10358083,746279.99999999,8182240,2179.84586835112,70.5956163540719,0.402637267121425,0.612765772705516,39.8039812387247,3497.08652135293,24
24,0.498885348312909,7145.73,10528684,740789.99999999,8181520,2430.24709373246,173.658895650968,0.443769135058282,0.643059804298348,94.4073332167217,6770.42195007375,24
25,0.612606971404717,862.38,10627946,729929.99999999,8181100,2619.53936800577,22.5903836018082,0.472206901080289,0.663091258775247,12.3378322177562,783.608174378749,18
27,0.613471632091977,720.18,10976419,723599.99999999,8179630,2704.59525623469,19.477954116351,0.484281394762601,0.67140056584103,10.8415901990005,685.604387194014,17
32,0.713033313851549,461.97,12434553,704219.99999999,8173480,2170.62944999354,10.0276568701352,0.401043911946391,0.611556814029844,4.6273033946559,265.981514975658,16
35,0.676374226428831,494.46,12719171,703559.99999999,8172280,2313.26767954991,11.4381833683025,0.425066213825419,0.629494426544199,5.61871536047348,335.921877209341,16
40,0.727577489437016,81667.26,13893217,700739.99999999,8167330,2585.97265999793,2111.89301576943,0.467323968441089,0.659699157488236,1097.61690341547,60553.1130252582,15
41,0.601558181770326,3419.37,13907363,698159.99999999,8167270,2057.60464476438,70.3571159416797,0.381034661899266,0.596124483153514,32.8381595620327,2170.4773427031,15
48,0.527957056624266,4308.93,15387128,687269.99999999,8161030,1942.36586153897,83.695185317611,0.359733553012156,0.579146556639943,38.7764742522621,2773.85815898919,14
49,0.756656329449892,3221.37,15543868,692909.99999999,8160370,2045.96848701315,65.9082150500955,0.378925143331068,0.594469347189952,28.431252563348,1548.59856078358,13
50,0.867941619162427,13214.61,15550980,692789.99999999,8160340,2486.39485663625,328.567383364539,0.452435574882399,0.649236883997853,157.194796866135,6917.6528561839,13
53,0.522821576763486,694.08,16304926,682289.99999999,8157160,1814.43902600414,12.5936583916895,0.3350232423951,0.558654133303552,5.56306067580911,402.949569069182,28
54,0.504320113314448,1270.8,16347259,671399.99999999,8156980,2353.31851949808,29.9059717457816,0.431569342892606,0.634248885990418,15.9109792927833,1139.08342521325,27
55,0.87283798997032,12311.46,16383174,681449.99999999,8156830,2587.84039696388,318.600935336049,0.467597444592813,0.659889635841028,156.767496609608,6807.7865358177,28
57,0.685187367428706,1527.48,16461009,668219.99999999,8156500,2239.2923817606,34.2047432729168,0.412777156929869,0.620394194458334,16.3545746466034,970.937047272866,27
